canton_normalizado,delito_normalizado,cantidad
ABANGARES,ABUSO DE AUTORIDAD,3
ABANGARES,ADMINISTRACION FRAUDULENTA Y APROPIACIONES INDEBIDAS,3
ABANGARES,AGRESION,8
ABANGARES,AJUSTE DE CUENTAS/VENGANZA,8
ABANGARES,ARDID PREVIO,2
ABANGARES,ARDID PREVIO/DISTRACCION,14
ABANGARES,ARMA BLANCA,25
ABANGARES,ARMA CONTUNDENTE,2
ABANGARES,ARMA DE FUEGO,113
ABANGARES,ARREBATO,11
ABANGARES,ASALTO,32
ABANGARES,BOQUETE,122
ABANGARES,CARTERISTA,6
ABANGARES,COCHERAZO,12
ABANGARES,CON LLAVE,12
ABANGARES,CORTA CANDADOS,30
ABANGARES,DANO INFORMATICO,1
ABANGARES,DANOS,7
ABANGARES,DELITOS CONTRA EL AMBIENTE,1
ABANGARES,DELITOS CONTRA LA LIBERTAD DE DETERMINACION,8
ABANGARES,DESAPARICION DE MENOR,2
ABANGARES,DESCUIDO,60
ABANGARES,DISCUSION/RINA,2
ABANGARES,ESCALAMIENTO,19
ABANGARES,ESTAFA,4
ABANGARES,ESTAFA INFORMATICA,17
ABANGARES,EXTORSIONES,1
ABANGARES,FACILITACION DE DELITO INFORMATICO,3
ABANGARES,FEMICIDIO,1
ABANGARES,FORZADURA,330
ABANGARES,FRAUDE,1
ABANGARES,GANZUA/VARILLA,2
ABANGARES,GOLPES,16
ABANGARES,HOMICIDIO CULPOSO,6
ABANGARES,HURTO,53
ABANGARES,INCENDIOS Y OTROS ESTRAGOS,1
ABANGARES,INMOVILIZACION,7
ABANGARES,INTIMIDACION VERBAL,4
ABANGARES,LESIONES,10
ABANGARES,MUERTE ACCIDENTAL,2
ABANGARES,MUERTE DEL ANIMAL,2
ABANGARES,NO DETERMINADO,1
ABANGARES,OTRO O INDETERMINADO,11
ABANGARES,POR CONFIANZA,155
ABANGARES,POR DESCUIDO,235
ABANGARES,POR LA COMISION DE OTRO DELITO,7
ABANGARES,PROGRESIVOS,15
ABANGARES,QUITAN CELOSIAS,54
ABANGARES,RETIRO DE CAJERO AUTOMATICO,4
ABANGARES,ROBO,37
ABANGARES,ROBO DE GANADO,22
ABANGARES,ROBO DE VEHICULO,12
ABANGARES,RUPTURA VENTANA,21
ABANGARES,TACHA DE VEHICULO,72
ABANGARES,TIMOS,19
ABANGARES,USURPACIONES,2
ABANGARES,"VIOLACION, ESTUPRO Y ABUSO DESHONESTO",5
ABANGARES,VIOLENCIA DOMESTICA,5
ACOSTA,ABANDONO DE PERSONAS,1
ACOSTA,ABUSO DE AUTORIDAD,3
ACOSTA,ADMINISTRACION FRAUDULENTA Y APROPIACIONES INDEBIDAS,2
ACOSTA,AGRESION,7
ACOSTA,ARDID PREVIO,1
ACOSTA,ARDID PREVIO/DISTRACCION,6
ACOSTA,ARMA BLANCA,9
ACOSTA,ARMA CONTUNDENTE,1
ACOSTA,ARMA DE FUEGO,46
ACOSTA,ARREBATO,5
ACOSTA,ASALTO,11
ACOSTA,BOQUETE,24
ACOSTA,CARTERISTA,16
ACOSTA,COCHERAZO,27
ACOSTA,CON LLAVE,5
ACOSTA,"CORRUPCION, PROXENETISMO,RUFIANERIA",1
ACOSTA,CORTA CANDADOS,6
ACOSTA,CRUELDAD CONTRA LOS ANIMALES,1
ACOSTA,DANOS,2
ACOSTA,DELITOS CONTRA EL AMBIENTE,2
ACOSTA,DELITOS CONTRA LA LIBERTAD DE DETERMINACION,17
ACOSTA,DELITOS CONTRA LA LIBERTAD INDIVIDUAL,1
ACOSTA,DESAPARICION DE MENOR,2
ACOSTA,DESCUIDO,44
ACOSTA,DIFUSION DE INFORMACION FALSA,2
ACOSTA,DISCUSION/RINA,2
ACOSTA,ENCUBRIMIENTO Y DIVULGACION DE INFORMACION CONFIDENCIAL,5
ACOSTA,ESCALAMIENTO,7
ACOSTA,ESTAFA,12
ACOSTA,ESTAFA INFORMATICA,4
ACOSTA,EXTORSIONES,4
ACOSTA,FORZADURA,146
ACOSTA,FRAUDE,4
ACOSTA,GANZUA/VARILLA,1
ACOSTA,GOLPES,6
ACOSTA,HURTO,16
ACOSTA,INCENDIOS Y OTROS ESTRAGOS,1
ACOSTA,INMOVILIZACION,1
ACOSTA,INTIMIDACION VERBAL,2
ACOSTA,LESIONES,1
ACOSTA,LEY CONTRA EL ACOSO SEXUAL CALLEJERO,1
ACOSTA,LEY FORESTAL,2
ACOSTA,MALTRATO DE ANIMALES,1
ACOSTA,MUERTE DEL ANIMAL,2
ACOSTA,NO DETERMINADO,1
ACOSTA,OTRO O INDETERMINADO,38
ACOSTA,POR CONFIANZA,29
ACOSTA,POR DESCUIDO,109
ACOSTA,PROGRESIVOS,1
ACOSTA,QUITAN CELOSIAS,18
ACOSTA,RETIRO DE CAJERO AUTOMATICO,2
ACOSTA,ROBO,29
ACOSTA,ROBO DE VEHICULO,5
ACOSTA,RUPTURA VENTANA,17
ACOSTA,SEDUCCION O ENCUENTRO CON MENORES POR MEDIOS ELECTRONICOS,1
ACOSTA,SUPLANTACION DE IDENTIDAD,1
ACOSTA,SUPLANTACION DE PAGINAS ELECTRONICAS,2
ACOSTA,SUSTRACCION DE PERSONA MENOR O INCAPAZ Y CUIDO LEGAL DE MENORES SUJETOS A ADOPCION,2
ACOSTA,TACHA DE VEHICULO,31
ACOSTA,TIMOS,35
ACOSTA,USO DE SOMNIFERO,1
ACOSTA,"VIOLACION, ESTUPRO Y ABUSO DESHONESTO",5
ALAJUELA,ABUSO DE AUTORIDAD,100
ALAJUELA,ADMINISTRACION FRAUDULENTA Y APROPIACIONES INDEBIDAS,51
ALAJUELA,AGRESION,134
ALAJUELA,AJUSTE DE CUENTAS/VENGANZA,157
ALAJUELA,ARDID PREVIO,75
ALAJUELA,ARDID PREVIO/DISTRACCION,599
ALAJUELA,ARMA BLANCA,1796
ALAJUELA,ARMA CONTUNDENTE,93
ALAJUELA,ARMA DE FUEGO,4084
ALAJUELA,ARREBATO,982
ALAJUELA,ASALTO,1743
ALAJUELA,BOQUETE,803
ALAJUELA,CANDADO CHINO,163
ALAJUELA,CARTERISTA,1316
ALAJUELA,COCHERAZO,1048
ALAJUELA,CON LLAVE,412
ALAJUELA,CONCUSION Y EXACCION,1
ALAJUELA,CORRUPCION DE FUNCIONARIOS,1
ALAJUELA,"CORRUPCION, PROXENETISMO,RUFIANERIA",8
ALAJUELA,CORTA CANDADOS,377
ALAJUELA,DANO INFORMATICO,1
ALAJUELA,DANOS,129
ALAJUELA,DELITOS CONTRA LA LIBERTAD DE DETERMINACION,155
ALAJUELA,DELITOS CONTRA LA LIBERTAD INDIVIDUAL,5
ALAJUELA,DELITOS CONTRA LOS MEDIOS DE TRANSPORTE Y DE COMUNICACION,2
ALAJUELA,DESAPARICION DE MAYOR,50
ALAJUELA,DESAPARICION DE MENOR,79
ALAJUELA,DESCONOCIDO,5
ALAJUELA,DESCUIDO,2556
ALAJUELA,DIFUSION DE INFORMACION FALSA,1
ALAJUELA,DISCUSION/RINA,108
ALAJUELA,ENCUBRIMIENTO Y DIVULGACION DE INFORMACION CONFIDENCIAL,43
ALAJUELA,ESCALAMIENTO,564
ALAJUELA,ESPIONAJE INFORMATICO,5
ALAJUELA,ESTAFA,366
ALAJUELA,ESTAFA INFORMATICA,208
ALAJUELA,EXTORSIONES,56
ALAJUELA,FACILITACION DE DELITO INFORMATICO,31
ALAJUELA,FEMICIDIO,8
ALAJUELA,FORZADURA,3032
ALAJUELA,FRAUDE,23
