canton_normalizado,total_delitos
ABANGARES,1640
ACOSTA,787
ALAJUELA,36052
ALAJUELITA,6759
ALVARADO,718
ASERRI,4001
ATENAS,2299
BAGACES,1976
BARVA,3706
BELEN,3301
BUENOSAIRES,4087
CANAS,3976
CARRILLO,4439
CARTAGO,17581
CORREDORES,6390
COTOBRUS,3524
CURRIDABAT,8313
DESAMPARADOS,17989
DOTA,473
ELGUARCO,3258
ESCAZU,6667
ESPARZA,3494
FLORES,2148
GARABITO,10242
GOICOECHEA,12991
GOLFITO,5873
GRECIA,5335
GUACIMO,4242
GUATUSO,1360
HEREDIA,22836
HOJANCHA,495
JIMENEZ,1145
LACRUZ,1911
LAUNION,8576
LEONCORTES,608
LIBERIA,13931
LIMON,13067
LOSCHILES,3210
MATINA,6509
MONTESDEOCA,13373
MONTESDEORO,955
MONTEVERDE,215
MORA,1887
MORAVIA,5670
NANDAYURE,557
NARANJO,2105
NICOYA,8185
OREAMUNO,2940
OROTINA,4122
OSA,7317
PALMARES,2162
PARAISO,3751
PARRITA,3454
PEREZZELEDON,15337
POAS,1946
POCOCI,14727
PUERTOJIMENEZ,298
PUNTARENAS,18426
PURISCAL,2763
QUEPOS,8280
RIOCUARTO,635
SANCARLOS,18357
SANISIDRO,1657
SANJOSE,105641
SANMATEO,621
SANPABLO,2591
SANRAFAEL,4736
SANRAMON,9077
SANTAANA,5282
SANTABARBARA,2971
SANTACRUZ,11436
SANTODOMINGO,4167
SARAPIQUI,6435
SARCHI,582
SIQUIRRES,9304
TALAMANCA,7194
TARRAZU,906
TIBAS,7918
TILARAN,1577
TURRIALBA,7746
TURRUBARES,490
UPALA,5280
VALVERDEVEGA,406
VASQUEZDECORONADO,4465
ZARCERO,480
